Year,County,Infection_Count,Total_Population,Infec_Div_Pop
2013,Tulare,7.0,905538,0.7730211211456615
2013,Tuolumne,0.0,108000,0.0
2013,Ventura,13.0,1677202,0.7751004351294597
2013,Yolo,1.0,412736,0.24228562567839976
2014,Alameda,21.0,3217348,0.6527114878465121
2014,Amador,0.0,73476,0.0
2014,Butte,2.0,447140,0.4472872031131189
2014,Calaveras,0.0,89346,0.0
2014,Colusa,0.0,42396,0.0
2014,Contra Costa,12.0,2218716,0.5408533584289291
2014,Del Norte,0.0,54396,0.0
2014,El Dorado,1.0,366322,0.27298387757219056
2014,Fresno,33.0,1922622,1.7164060330111692
2014,Glenn,0.0,55714,0.0
2014,Humboldt,1.0,269028,0.3717085210461365
2014,Imperial,0.0,356466,0.0
2014,Inyo,0.0,36640,0.0
2014,Kern,19.0,1739914,1.0920079957974933
2014,Kings,0.0,299206,0.0
2014,Lake,0.0,128116,0.0
2014,Lassen,0.0,63420,0.0
2014,Los Angeles,213.0,20096816,1.0598693842845552
2014,Madera,0.0,307180,0.0
2014,Marin,4.0,520870,0.7679459366060629
2014,Mariposa,0.0,35426,0.0
2014,Mendocino,0.0,174514,0.0
2014,Merced,1.0,529298,0.18892948773658697
2014,Modoc,0.0,18160,0.0
2014,Mono,0.0,28284,0.0
2014,Monterey,2.0,857960,0.23311110075061775
2014,Napa,2.0,281134,0.7114045259555941
2014,Nevada,0.0,197178,0.0
2014,Orange,39.0,6260644,0.6229391097784829
2014,Placer,4.0,738652,0.5415269978284767
2014,Plumas,0.0,37324,0.0
2014,Riverside,48.0,4635910,1.0353954239836407
2014,Sacramento,47.0,2951236,1.5925530862323447
2014,San Benito,0.0,115734,0.0
2014,San Bernardino,62.0,4201552,1.4756451901583034
2014,San Diego,50.0,6501986,0.7689958114336142
2014,San Francisco,30.0,1702232,1.7623919653725226
2014,San Joaquin,9.0,1423542,0.6322258142014777
2014,San Luis Obispo,2.0,556592,0.3593296346336275
2014,San Mateo,2.0,1515340,0.13198358124249343
2014,Santa Barbara,2.0,878716,0.22760482340141752
2014,Santa Clara,39.0,3785968,1.0301196417930631
2014,Santa Cruz,1.0,542070,0.18447801944398326
2014,Shasta,7.0,357810,1.9563455465191024
2014,Siskiyou,0.0,86758,0.0
2014,Solano,0.0,858310,0.0
2014,Sonoma,9.0,997606,0.9021597704905544
2014,Stanislaus,11.0,1056692,1.040984506365147
2014,Sutter,3.0,189660,1.5817779183802594
2014,Tehama,0.0,125576,0.0
2014,Trinity,0.0,26246,0.0
2014,Tulare,18.0,911204,1.9754083608061423
2014,Tuolumne,0.0,107656,0.0
2014,Ventura,11.0,1685892,0.6524735866828955
2014,Yolo,0.0,417036,0.0
2015,Alameda,19.0,3269268,0.5811698520892139
2015,Amador,1.0,74074,1.35000135000135
2015,Butte,5.0,449624,1.1120402825471951
2015,Calaveras,0.0,89914,0.0
2015,Colusa,0.0,42538,0.0
2015,Contra Costa,8.0,2249212,0.3556801226385063
2015,Del Norte,1.0,54492,1.8351317624605448
2015,El Dorado,2.0,369320,0.5415357955160837
2015,Fresno,28.0,1940884,1.4426416004253733
2015,Glenn,0.0,55552,0.0
2015,Humboldt,5.0,270228,1.8502893852598545
2015,Imperial,1.0,358358,0.27905055838016735
2015,Inyo,0.0,36348,0.0
2015,Kern,10.0,1754394,0.5699973894119564
2015,Kings,2.0,300398,0.6657833940305861
2015,Lake,0.0,128508,0.0
2015,Lassen,0.0,62766,0.0
2015,Los Angeles,282.0,20194074,1.396449275168547
2015,Madera,4.0,307478,1.300906081085476
2015,Marin,1.0,522032,0.1915591381371257
2015,Mariposa,0.0,35244,0.0
2015,Mendocino,0.0,174336,0.0
2015,Merced,1.0,533302,0.18751101627220598
2015,Modoc,0.0,18096,0.0
2015,Mono,0.0,28086,0.0
2015,Monterey,5.0,862482,0.5797222434787045
2015,Napa,0.0,282192,0.0
2015,Nevada,2.0,197418,1.0130788479267343
2015,Orange,42.0,6307924,0.665829201493233
2015,Placer,4.0,746116,0.5361096665933984
2015,Plumas,0.0,37032,0.0
2015,Riverside,39.0,4695842,0.8305219809354744
2015,Sacramento,33.0,2988588,1.1042003782388203
2015,San Benito,1.0,116486,0.8584722627611902
2015,San Bernardino,56.0,4234622,1.3224320848472424
2015,San Diego,73.0,6568122,1.111428807199379
2015,San Francisco,25.0,1727672,1.4470339277362834
2015,San Joaquin,16.0,1443858,1.1081422134309606
2015,San Luis Obispo,1.0,560342,0.17846243901046147
2015,San Mateo,7.0,1530894,0.45724916290742534
2015,Santa Barbara,3.0,885044,0.33896619829070646
2015,Santa Clara,36.0,3834962,0.938731596297434
2015,Santa Cruz,1.0,547460,0.1826617469769481
2015,Shasta,5.0,356722,1.4016517063707874
2015,Siskiyou,0.0,86672,0.0
2015,Solano,4.0,867416,0.46113975301354826
2015,Sonoma,2.0,1002692,0.19946304548156366
2015,Stanislaus,19.0,1067068,1.7805800567536465
2015,Sutter,0.0,190776,0.0
2015,Tehama,1.0,126180,0.7925186241876684
2015,Trinity,0.0,26188,0.0
2015,Tulare,4.0,915606,0.43686913366666447
2015,Tuolumne,0.0,107100,0.0
2015,Ventura,13.0,1693844,0.7674850812707664
2015,Yolo,0.0,424106,0.0
2015,Yuba,4.0,148166,2.6996746891999517
2016,Alameda,24.0,3300612,0.7271378762484049
2016,Amador,0.0,74876,0.0
2016,Butte,3.0,453058,0.6621668748813617
2016,Calaveras,0.0,90606,0.0
2016,Contra Costa,15.0,2274388,0.6595180769508106
2016,Del Norte,0.0,54844,0.0
2016,El Dorado,0.0,372164,0.0
2016,Fresno,33.0,1955912,1.6871924708269086
2016,Glenn,0.0,55702,0.0
2016,Humboldt,3.0,272628,1.1004005457986707
2016,Imperial,2.0,360536,0.5547296247808818
2016,Inyo,0.0,35992,0.0
2016,Kern,18.0,1764722,1.0199906840850854
2016,Kings,2.0,299018,0.6688560554882984
2016,Lake,0.0,127768,0.0
2016,Lassen,0.0,61812,0.0
2016,Los Angeles,302.0,20241080,1.4920152481982185
2016,Madera,1.0,308320,0.3243383497664764
2016,Marin,4.0,521266,0.767362536593601
2016,Mariposa,0.0,34910,0.0
2016,Mendocino,3.0,174764,1.7166006729074639
2016,Merced,0.0,535942,0.0
2016,Modoc,0.0,17870,0.0
2016,Mono,0.0,28404,0.0
2016,Monterey,5.0,869534,0.5750206432410924
2016,Napa,3.0,282370,1.0624358111697418
2016,Nevada,2.0,197928,1.0104684531748918
2016,Orange,51.0,6341414,0.8042370360932121
2016,Placer,7.0,758576,0.9227816329543778
2016,Plumas,0.0,37544,0.0
2016,Riverside,49.0,4765140,1.0283013720478307
2016,Sacramento,39.0,3023020,1.2901006278489722
2016,San Benito,0.0,118470,0.0
2016,San Bernardino,38.0,4268348,0.890274176332389
2016,San Diego,82.0,6620560,1.2385659219159708
2016,San Francisco,34.0,1745590,1.94776551194725
2016,San Joaquin,17.0,1464370,1.1609087867137404
2016,San Luis Obispo,1.0,563916,0.17733137559494677
2016,San Mateo,7.0,1536408,0.455608145752951
2016,Santa Barbara,3.0,889350,0.337325012649688
2016,Santa Clara,41.0,3859162,1.06240681267073
2016,Santa Cruz,2.0,549404,0.3640308406928235
2016,Shasta,12.0,357162,3.3598199136526286
2016,Siskiyou,0.0,86958,0.0
2016,Solano,5.0,878600,0.5690871841566127
2016,Sonoma,4.0,1006498,0.3974175805615113
2016,Stanislaus,21.0,1079084,1.9460950213329082
2016,Sutter,0.0,191796,0.0
2016,Tehama,2.0,126704,1.5784821315822706
2016,Trinity,0.0,25660,0.0
2016,Tulare,11.0,920046,1.1955923942933289
2016,Tuolumne,1.0,107408,0.9310293460449873
2016,Ventura,17.0,1697842,1.0012710252190722
2016,Yolo,0.0,431060,0.0
2016,Yuba,4.0,150004,2.666595557451801
2017,Alameda,19.0,3316262,0.5729342253416648
2017,Amador,0.0,77102,0.0
2017,Butte,4.0,458414,0.8725736997561157
2017,Calaveras,0.0,91284,0.0
2017,Contra Costa,6.0,2289726,0.2620400868924928
2017,Del Norte,0.0,54856,0.0
2017,El Dorado,0.0,377444,0.0
2017,Fresno,27.0,1973084,1.3684161444723084
2017,Glenn,0.0,55912,0.0
2017,Humboldt,2.0,273054,0.7324558512235675
2017,Imperial,0.0,363148,0.0
2017,Inyo,0.0,35896,0.0
2017,Kern,8.0,1777976,0.44994983059388877
2017,Kings,7.0,299392,2.338071825566481
2017,Lake,2.0,128324,1.558554907889405
2017,Lassen,0.0,62246,0.0
2017,Los Angeles,271.0,20237518,1.339097017727174
2017,Madera,1.0,311808,0.3207101806239737
2017,Marin,1.0,519450,0.1925113100394648
2017,Mariposa,0.0,34874,0.0
2017,Mendocino,0.0,175394,0.0
2017,Merced,1.0,542680,0.18427065674062063
2017,Modoc,0.0,17696,0.0
2017,Mono,0.0,28470,0.0
2017,Monterey,6.0,870954,0.6888997581961849
2017,Napa,1.0,280772,0.3561608707420968
2017,Nevada,1.0,199006,0.5024974121383274
2017,Orange,75.0,6359900,1.1792638249029073
2017,Placer,4.0,771130,0.5187192820925136
2017,Plumas,0.0,37480,0.0
2017,Riverside,42.0,4834448,0.8687651620205658
2017,Sacramento,56.0,3055436,1.8327989851530193
2017,San Benito,0.0,120398,0.0
2017,San Bernardino,47.0,4306406,1.091397327609148
2017,San Diego,67.0,6650936,1.0073770067852104
2017,San Francisco,24.0,1758332,1.3649299449705743
2017,San Joaquin,10.0,1485032,0.6733861627224195
2017,San Luis Obispo,2.0,565676,0.353559281284693
2017,San Mateo,3.0,1537616,0.19510723093412138
2017,Santa Barbara,3.0,891212,0.3366202429949327
2017,Santa Clara,51.0,3866766,1.318931634342497
2017,Santa Cruz,1.0,550210,0.18174878682684795
2017,Shasta,12.0,359078,3.3418922908114674
2017,Siskiyou,0.0,87568,0.0
2017,Solano,3.0,887754,0.3379314539838739
2017,Sonoma,1.0,1006492,0.09935498742165859
2017,Stanislaus,15.0,1090534,1.3754729334436155
2017,Sutter,0.0,192876,0.0
2017,Tehama,0.0,127436,0.0
2017,Trinity,0.0,25452,0.0
2017,Tulare,14.0,926194,1.511562372461925
2017,Tuolumne,0.0,108078,0.0
2017,Ventura,10.0,1701604,0.5876807999981195
2017,Yolo,2.0,436752,0.4579257793896765
2017,Yuba,6.0,153550,3.9075219798111367
2018,Alameda,22.0,3333506,0.6599658137708466
2018,Amador,0.0,78766,0.0
2018,Butte,1.0,462512,0.21621060642750892
2018,Calaveras,0.0,91204,0.0
2018,Contra Costa,10.0,2300430,0.4347013384454211
2018,Del Norte,0.0,55656,0.0
2018,El Dorado,2.0,381356,0.5244443512098931
2018,Fresno,17.0,1988800,0.8547868061142398
2018,Glenn,0.0,56094,0.0
2018,Humboldt,0.0,272746,0.0
2018,Imperial,0.0,363654,0.0
2018,Inyo,0.0,35974,0.0
2018,Kern,12.0,1793528,0.6690723534843058
2018,Kings,0.0,302732,0.0
2018,Lake,0.0,128764,0.0
2018,Lassen,0.0,61604,0.0
2018,Los Angeles,262.0,20211036,1.2963214750594676
2018,Madera,2.0,315344,0.6342280176569081
2018,Marin,5.0,519332,0.9627752574461038
2018,Mariposa,0.0,34942,0.0
2018,Mendocino,0.0,175212,0.0
2018,Merced,2.0,549530,0.36394737320983384
2018,Modoc,0.0,17554,0.0
2018,Mono,0.0,28500,0.0
2018,Monterey,4.0,871188,0.45914314705895853
2018,Napa,4.0,278834,1.4345452850082845
2018,Nevada,1.0,199392,0.5015246348900657
2018,Orange,58.0,6371936,0.9102414085766085
2018,Placer,3.0,786298,0.38153473619416556
2018,Plumas,0.0,37608,0.0
2018,Riverside,35.0,4901516,0.7140647913829109
2018,Sacramento,38.0,3081950,1.2329856097600544
2018,San Benito,0.0,123074,0.0
2018,San Bernardino,43.0,4343206,0.9900520491084235
2018,San Diego,58.0,6686728,0.8673898504619898
2018,San Francisco,30.0,1766610,1.6981676770764345
2018,San Joaquin,9.0,1505320,0.5978795206334866
2018,San Luis Obispo,2.0,568020,0.3521002781592198
2018,San Mateo,3.0,1539090,0.19492037502680154
2018,Santa Barbara,1.0,893054,0.11197531168328007
2018,Santa Clara,35.0,3875140,0.9031931749562596
2018,Santa Cruz,1.0,548510,0.18231208182166234
2018,Shasta,9.0,360080,2.4994445678738058
2018,Siskiyou,0.0,87448,0.0
2018,Solano,2.0,893220,0.22390900338102596
2018,Sonoma,7.0,999884,0.7000812094202928
2018,Stanislaus,12.0,1099630,1.0912761565253768
2018,Sutter,0.0,193614,0.0
2018,Tehama,0.0,127832,0.0
2018,Trinity,0.0,25070,0.0
2018,Tulare,18.0,931722,1.9319067275431943
2018,Tuolumne,0.0,109078,0.0
2018,Ventura,12.0,1701934,0.7050802205020876
2018,Yolo,2.0,440816,0.45370403978077023
2018,Yuba,4.0,156082,2.5627554746863828
