Total Population,California County,Longitude,Latitude,PM2.5,Cleanup Sites,Haz. Waste,Pollution Burden,Asthma,Cardiovascular Disease,Traffic
7508,Los Angeles,-118.2560631,34.0625684,12.53587816,25.65,0.96,75.6665517787375,41.43,10.45,2879.594269
2407,Fresno ,-119.7178427,36.6816,13.61859287,70.5,6.695,79.5396656401131,101.74,15.94,550.4996481
4788,Los Angeles,-118.200174,33.7863532,11.69108081,3.5,2.14,61.2897840184836,127.96,27.86,854.1597288
3841,Los Angeles,-118.2215755,33.8219958,11.72604257,8.9,1.395,70.3147520284245,79.55,21.11,2233.800035
6631,Kings ,-119.6308433,36.3080545,15.50307476,7.25,0.945,62.67231652319,108.13,26.4,388.3283198
4501,Los Angeles,-118.2773062,33.9785291,12.13275518,14.35,0.06,59.9959176964518,113.88,27.88,3767.169464
2918,Los Angeles,-118.2430143,33.9920544,12.16800708,54.85,9.525,61.2937334158757,80.43,19.67,508.4178425
4150,Los Angeles,-118.3605226,34.0297377,11.94583615,3.9,0.345,65.5869471838753,99.57,16.87,3054.125252
6588,Los Angeles,-118.1668021,33.8674703,12.07851936,14.0,4.395,69.8279159666504,94.42,20.48,913.8811807
4165,Los Angeles,-118.1600078,33.8783269,12.07684795,3.45,8.09,67.4258088446013,68.25,15.3,2820.212253
2705,Los Angeles,-118.2391487,33.9774904,12.136112,27.9,1.91,63.6750725721505,80.16,24.73,1078.399826
5505,Los Angeles,-118.2439607,34.009617,12.15734144,57.05,1.92,65.672867138018,69.35,21.0,554.9191044
3112,Stanislaus ,-120.9667385,37.6287607,11.44969032,28.9,2.28,61.2294089061339,99.94,17.18,559.8361609
3289,Los Angeles,-118.2333907,33.9846156,12.14111892,53.9,9.885,62.9119469837458,60.74,24.24,805.1329156
3073,Los Angeles,-118.4703709,34.2248464,12.06000567,40.5,0.355,61.0475577712941,86.23,15.46,3927.660141
5510,Los Angeles,-118.2124515,34.0309821,12.30827709,5.65,3.9,70.6134184579089,70.82,19.23,4013.208536
7395,Los Angeles,-118.2597456,34.1316179,11.87080549,49.25,1.95,69.6806878552283,65.09,19.32,1006.129331
4443,Los Angeles,-118.3065724,33.9079762,12.12237612,69.7,4.48,73.0271936000741,66.53,12.77,875.4572135
4436,Kern ,-119.3337642,35.5917344,13.91821858,19.0,0.25,64.8008296666848,42.69,21.43,245.8278104
4802,Los Angeles,-118.0551094,34.0585512,11.96074742,15.95,1.07,66.7618638612364,65.92,16.69,602.1711841
1598,Sacramento ,-121.4825199,38.5916037,9.096159717,218.25,7.73,69.234153723438,133.65,17.04,1892.222241
5139,Los Angeles,-118.3919494,34.2321411,11.41126373,50.8,0.78,69.1823848275792,74.78,15.13,2560.759679
2991,Los Angeles,-118.2242419,34.0887194,12.45587973,50.1,0.025,70.0705197889345,65.4,11.07,2390.883961
7139,Los Angeles,-118.1810628,33.9220335,12.04697253,4.65,0.615,67.5838162780632,67.6,18.77,3490.191587
6741,Riverside ,-117.367719,33.9711717,12.35264701,44.2,0.73,69.0503946620091,61.0,17.63,1416.184446
2704,Los Angeles,-118.4622655,34.2191995,12.08174436,41.35,0.9,63.4619422689854,93.8,20.79,1392.963629
3110,Los Angeles,-117.9903099,34.0641759,12.02600668,17.35,0.605,76.194861452711,64.73,14.4,4410.033774
5159,Los Angeles,-118.2761415,33.9560337,12.116733,4.5,0.15,59.8745037241172,113.88,27.88,3525.282743
5146,Los Angeles,-118.2768346,33.9364442,12.0881206,0.0,0.0,58.8613383086312,125.21,21.82,2775.215502
2852,Los Angeles,-118.2336329,33.945396,12.06544894,76.6,1.135,61.7038238633501,103.63,25.73,956.109058
6124,Los Angeles,-118.1785185,33.8794113,12.19282827,11.4,4.065,73.3649832354318,63.41,14.42,2371.319143
3761,Los Angeles,-118.3831998,34.217858,11.43961966,41.65,1.2,66.0116875668834,69.64,18.32,1676.067303
4144,Los Angeles,-118.2614031,33.925262,12.0964657,5.4,0.43,64.0082074261252,97.62,18.87,3247.400721
6941,Kern ,-119.0109288,35.3604274,15.81268363,16.2,0.42,58.8473062147748,110.77,21.67,887.5730984
4401,Fresno ,-119.7810169,36.758343,13.73001704,9.0,0.28,61.2497073188429,128.34,16.68,2460.086197
4080,Los Angeles,-118.2158297,34.0366414,12.47302993,8.5,0.755,72.6450269752876,51.48,13.23,3291.982798
2241,Los Angeles,-118.2058412,34.0238161,12.24094412,24.15,8.005,71.8628703972953,76.1,20.87,3550.700079
